Random waveform, random seed
Total number of intervals = 120 (18196, 35822, 61511, 61621, 10539, 74189, 84582, 36624, 101188, 43639, 87660, 11243, 41403, 101332, 44465, 109829, 59431, 57576, 73122, 106253, 25640, 96000, 101920, 68835, 85818, 27489, 91056, 67865, 55517, 9373, 17568, 94778, 39420, 56331, 36451, 36314, 38807, 43826, 84756, 25657, 65953, 51233, 35140, 52758, 52288, 29275, 68173, 98962, 20346, 56401, 57647, 12488, 79384, 45561, 51300, 9432, 51788, 20942, 96784, 60378, 26721, 93799, 72159, 98191, 76135, 38269, 33616, 54334, 85064, 62453, 34528, 52446, 61339, 9815, 94480, 71456, 43963, 83603, 77143, 66213, 11458, 93899, 80334, 40006, 35634, 61549, 67807, 33097, 43262, 63233, 17081, 98710, 84526, 52092, 101609, 82896, 64878, 45989, 104485, 16075, 82106, 11126, 75301, 97222, 69130, 107642, 54595, 61711, 56960, 10185, 13592, 41967, 28650, 68104, 92058, 104408, 92701, 96280, 83223, 87127)
Average QPS expected = 59235
Timestamp start: 1778408485571
Timestamp end: 1778410285882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      280.4    98.1    86.8   171.6   184.2   269.1   316.2   338.2   352.5   367.8   386.7   413.5   478.5   692.4  3368.8  66288.3    66213
read      258.8    69.1   101.3   180.1   195.2   258.4   276.6   287.2   293.9   303.1   315.3   336.3   394.0   537.3  2715.1  11515.2    11458
read      279.1    98.1    86.8   172.3   184.7   264.0   308.3   332.9   349.4   368.0   390.3   422.8   504.8   771.8  2948.6  93849.9    93899
read      278.4    90.5    86.8   171.0   183.5   264.6   311.2   335.5   351.3   368.3   389.1   419.0   489.1   669.6  2294.1  80353.9    80334
read      283.2    88.1    93.8   176.3   190.3   284.3   318.8   334.6   344.5   357.3   371.0   395.2   450.2   585.8  2198.0  40085.1    40006
read      284.4    78.9    93.8   177.1   191.0   285.6   318.5   334.3   344.4   357.8   372.3   398.1   459.9   617.7  1974.3  35754.1    35634
read      287.4   105.1   101.3   172.3   184.7   274.7   323.7   346.8   363.0   380.7   402.3   437.2   525.3   719.3  3118.4  61601.7    61549
read      279.3    88.5    93.8   171.1   183.7   268.0   315.3   337.8   352.3   367.9   387.3   414.5   477.4   641.3  2082.2  67771.4    67807
read      283.0    78.2    86.8   178.6   193.1   285.3   315.1   329.6   339.1   349.8   365.2   388.4   446.0   606.8  2572.8  33039.5    33097
read      286.2    88.1   101.3   175.9   189.7   284.7   322.8   340.1   351.9   365.6   382.3   406.1   470.0   607.0  2845.4  43311.9    43262
read      284.4    95.5    93.8   171.9   184.6   272.7   320.9   343.4   358.8   374.5   395.9   428.2   507.2   709.3  2377.2  63271.4    63233
read      270.5    74.1    93.8   182.1   197.5   271.6   292.9   304.3   312.2   320.1   334.3   353.4   404.1   543.8  2316.1  17118.5    17081
read      279.4   102.6    86.8   171.8   184.5   264.2   307.9   332.4   349.1   368.1   391.2   425.3   512.5   779.5  2935.0  98721.8    98710
