Random waveform, random seed
Total number of intervals = 120 (30791, 31616, 50769, 7057, 41381, 44185, 23177, 65077, 28062, 60607, 88124, 40638, 59694, 78113, 99310, 95000, 96501, 30992, 56828, 106080, 52414, 39816, 101506, 30559, 20973, 88000, 47947, 40253, 94352, 29332, 88303, 107513, 93120, 107015, 17017, 64172, 51842, 85691, 91307, 94526, 109425, 87706, 52117, 97496, 50989, 42439, 80425, 10577, 80828, 52257, 41244, 50042, 82346, 48066, 43897, 11554, 12389, 87616, 105888, 81789, 37732, 34935, 73806, 54451, 44395, 93880, 69477, 73697, 16901, 5183, 47578, 45051, 85088, 39484, 79682, 17436, 76254, 33821, 29295, 95603, 49952, 44134, 13631, 62088, 102267, 16120, 105389, 98941, 78770, 109400, 101101, 54552, 73956, 64143, 94971, 30793, 79164, 27293, 41071, 93528, 34982, 20922, 65233, 39877, 70061, 17874, 85810, 104980, 41880, 30253, 20470, 39085, 104846, 100619, 46182, 104060, 12356, 66765, 50357, 26809)
Average QPS expected = 59893
Timestamp start: 1778343095017
Timestamp end: 1778344895336

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      255.8    81.7    86.8   158.1   176.5   250.8   278.0   293.3   304.9   318.1   337.1   366.3   428.9   573.0  2645.1  12409.0    12389
read      252.5   124.4    74.4   122.5   135.7   225.9   281.0   311.7   334.9   364.0   402.9   467.6   609.7   968.6  2812.2  87651.3    87616
read      260.2   147.4    74.4   124.8   138.5   226.0   279.8   311.7   336.7   369.8   420.9   510.7   727.4  1159.0  3406.6 105899.7   105888
read      252.8   116.6    74.4   122.5   135.8   227.5   284.4   315.7   339.0   367.6   404.1   463.7   585.3   839.1  2105.2  81760.9    81789
read      265.0    98.2    74.4   132.1   148.1   262.0   305.8   328.1   343.7   362.7   385.7   420.0   488.0   596.7  1993.4  37727.7    37732
read      265.5    99.8    74.4   133.8   150.0   263.5   305.0   326.3   341.4   359.6   381.6   414.8   481.3   585.1  2290.9  34867.7    34935
read      252.0   114.7    74.4   121.7   135.0   230.0   287.4   317.9   340.1   366.7   400.1   451.7   550.1   724.0  2568.6  73838.4    73806
read      259.1   108.0    74.4   125.3   139.4   247.1   300.7   328.1   346.7   369.5   397.2   436.4   517.2   659.4  2124.2  54327.9    54451
read      264.3   103.3    74.4   129.1   143.9   258.3   306.6   331.5   348.6   369.1   394.5   431.0   504.1   625.9  2319.7  44403.9    44395
read      259.6   142.6    74.4   122.1   135.4   225.6   283.3   316.3   341.7   374.5   423.2   503.6   715.2  1264.8  3257.3  93884.7    93880
